Age,Gender,Location,Profession,Platform,Total Time Spent,Video Category,Video Length,Number of Videos Watched,Frequency,Watch Reason,DeviceType,Watch Time,Self Control,Addiction Level,CurrentActivity
56,Male,Pakistan,Engineer,Instagram,80,Pranks,24,22,Night,Procrastination,Smartphone,21:00:00,5,5,Commuting
46,Female,Mexico,Artist,Instagram,228,Pranks,19,31,Afternoon,Habit,Computer,17:00:00,7,3,At school
32,Female,United States,Engineer,Facebook,30,Vlogs,19,7,Evening,Entertainment,Tablet,14:00:00,8,2,At home
60,Male,Barzil,Waiting staff,YouTube,101,Vlogs,4,41,Night,Habit,Smartphone,21:00:00,5,5,Commuting
25,Male,Pakistan,Manager,TikTok,136,Gaming,19,21,Morning,Boredom,Smartphone,08:00:00,10,0,At home
38,Male,Vietnam,driver,Instagram,89,Jokes/Memes,9,16,Night,Entertainment,Computer,21:00:00,5,5,At home
56,Male,India,Students,TikTok,247,Vlogs,16,20,Morning,Habit,Smartphone,08:00:00,10,0,At school
36,Male,Barzil,Engineer,Instagram,191,Entertainment,27,43,Night,Entertainment,Tablet,21:00:00,5,5,At home
40,Male,United States,Waiting staff,Instagram,34,Vlogs,4,44,Night,Entertainment,Computer,21:00:00,5,5,At home
28,Other,United States,Students,YouTube,165,ASMR,6,47,Evening,Boredom,Smartphone,14:00:00,8,2,At home
28,Male,Indonesia,Manager,Instagram,14,Pranks,8,19,Afternoon,Boredom,Smartphone,17:00:00,7,3,At home
41,Other,Philippines,Labor/Worker,TikTok,129,Life Hacks,27,48,Evening,Habit,Tablet,14:00:00,8,2,At home
53,Male,Japan,Waiting staff,Instagram,286,Gaming,29,32,Afternoon,Habit,Smartphone,17:00:00,7,3,At school
57,Male,Indonesia,Waiting staff,Facebook,27,Vlogs,24,15,Evening,Entertainment,Tablet,14:00:00,8,2,Commuting
41,Other,Vietnam,Cashier,YouTube,207,Gaming,16,5,Evening,Boredom,Tablet,14:00:00,8,2,At school
20,Female,Philippines,Students,YouTube,66,Entertainment,5,11,Evening,Entertainment,Smartphone,14:00:00,8,2,At school
39,Female,Mexico,Waiting staff,Facebook,102,ASMR,21,15,Afternoon,Habit,Smartphone,17:00:00,7,3,At home
19,Female,Barzil,Students,Facebook,28,ASMR,22,29,Evening,Habit,Smartphone,14:00:00,8,2,At home
41,Other,Japan,Labor/Worker,Facebook,202,Pranks,10,45,Evening,Entertainment,Smartphone,14:00:00,8,2,At work
61,Male,United States,Labor/Worker,Instagram,246,Vlogs,23,4,Morning,Habit,Smartphone,08:00:00,10,0,At work
47,Male,India,Waiting staff,YouTube,286,Vlogs,13,49,Afternoon,Habit,Tablet,17:00:00,7,3,Commuting
55,Male,Barzil,driver,Facebook,236,Entertainment,29,36,Afternoon,Boredom,Computer,17:00:00,7,3,Commuting
19,Female,Indonesia,Students,Instagram,242,Entertainment,26,48,Night,Boredom,Smartphone,21:00:00,5,5,At work
38,Female,India,Waiting staff,Facebook,49,Pranks,14,23,Evening,Habit,Smartphone,14:00:00,8,2,At home
50,Male,Germany,Waiting staff,TikTok,162,Jokes/Memes,7,15,Evening,Boredom,Smartphone,14:00:00,8,2,At home
29,Male,Japan,Labor/Worker,TikTok,136,Jokes/Memes,29,46,Afternoon,Entertainment,Smartphone,17:00:00,7,3,At school
39,Male,Japan,Students,YouTube,246,Gaming,20,44,Evening,Habit,Smartphone,14:00:00,8,2,Commuting
61,Other,Vietnam,Manager,Instagram,64,Life Hacks,6,3,Night,Habit,Smartphone,21:00:00,5,5,At home
42,Female,India,Labor/Worker,TikTok,181,Entertainment,7,32,Evening,Boredom,Smartphone,14:00:00,8,2,At work
44,Male,India,driver,TikTok,118,Pranks,5,10,Evening,Entertainment,Smartphone,14:00:00,8,2,At home
59,Male,United States,driver,Instagram,193,Pranks,21,40,Morning,Habit,Smartphone,08:00:00,10,0,At school
45,Male,United States,Students,Facebook,207,Jokes/Memes,18,38,Afternoon,Habit,Smartphone,17:00:00,7,3,At home
33,Male,India,Labor/Worker,Instagram,96,Trends,23,22,Night,Boredom,Tablet,21:00:00,5,5,Commuting
32,Other,Mexico,Waiting staff,Facebook,210,Trends,12,14,Evening,Entertainment,Smartphone,14:00:00,8,2,At work
64,Female,Vietnam,Students,TikTok,284,Entertainment,6,17,Evening,Entertainment,Tablet,14:00:00,8,2,At school
61,Other,Mexico,Students,TikTok,220,Jokes/Memes,27,21,Night,Procrastination,Smartphone,21:00:00,5,5,At home
20,Male,United States,Labor/Worker,TikTok,127,Entertainment,1,48,Night,Entertainment,Tablet,21:00:00,5,5,At home
54,Male,Philippines,Students,YouTube,200,Jokes/Memes,4,15,Afternoon,Boredom,Smartphone,17:00:00,7,3,At school
24,Male,Barzil,Cashier,YouTube,51,Jokes/Memes,19,15,Night,Habit,Smartphone,21:00:00,5,5,At home
38,Male,Germany,Students,YouTube,51,ASMR,12,1,Afternoon,Boredom,Tablet,17:00:00,7,3,Commuting
26,Male,Pakistan,Waiting staff,Instagram,285,Comedy,15,24,Evening,Boredom,Smartphone,14:00:00,8,2,At work
56,Male,India,Students,TikTok,26,ASMR,3,12,Evening,Habit,Smartphone,14:00:00,8,2,At school
35,Other,Indonesia,Cashier,TikTok,292,Life Hacks,23,10,Morning,Entertainment,Tablet,08:00:00,10,0,At home
21,Female,Pakistan,Waiting staff,Instagram,267,Gaming,27,46,Night,Entertainment,Tablet,21:00:00,5,5,At school
42,Other,Philippines,Labor/Worker,YouTube,72,Gaming,28,42,Evening,Boredom,Smartphone,14:00:00,8,2,Commuting
31,Female,Pakistan,Waiting staff,Instagram,71,Comedy,26,42,Evening,Procrastination,Smartphone,14:00:00,8,2,At home
26,Male,Vietnam,Labor/Worker,YouTube,109,Trends,20,31,Afternoon,Procrastination,Smartphone,17:00:00,7,3,At school
43,Male,Japan,Students,TikTok,28,Pranks,28,11,Night,Entertainment,Tablet,21:00:00,5,5,At work
19,Female,India,Students,Facebook,26,Trends,8,16,Evening,Boredom,Tablet,14:00:00,8,2,At school
